ticker,name,start_date,end_date,add_reason,remove_reason,source,cik
HOLX,Hologic Inc,2007-12-24,2010-12-20,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
HOLX,Hologic Inc,2016-12-09,2018-12-24,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
HON,Honeywell,2021-07-21,,Annual Re-ranking,,fmp:nasdaq100,0000773840
HSIC,Henry Schein Inc,2002-12-23,2004-12-20,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
HSIC,Henry Schein Inc,2007-10-02,2019-12-23,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
IAC,IAC/InterActiveCorp,1998-09-15,2009-12-21,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
IDXX,Idexx Laboratories,2017-03-20,,Annual Re-ranking,,fmp:nasdaq100,0000874716
ILMN,Illumina Inc,2008-12-22,2011-12-19,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
ILMN,Illumina Inc,2013-12-23,2024-12-22,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
INCY,Incyte Corp,2015-10-07,2021-12-20,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
INFY,Infosys Ltd,2006-12-18,2012-12-12,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
INSM,Insmed Incorporated,2025-12-21,2026-06-22,Annual Re-ranking,Quarterly rebalance,fmp:nasdaq100,
INTC,Intel,1985-01-30,,Annual Re-ranking,,fmp:nasdaq100,0000050863
INTU,Intuit,1998-12-21,,Annual Re-ranking,,fmp:nasdaq100,0000896878
ISIL,Intersil Corp,2003-12-22,2005-12-19,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
ISRG,Intuitive Surgical,2006-02-01,,Annual Re-ranking,,fmp:nasdaq100,0001035267
JAVA,Sun Microsystems,1985-01-29,2009-07-17,,Annual Re-ranking,fmp:nasdaq100,
JBHT,J. B. Hunt Transport Services Inc,2008-12-22,2010-12-20,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
JBHT,J. B. Hunt Transport Services Inc,2017-02-07,2019-12-23,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
JD,JD.com,2015-07-29,2023-12-18,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
JDSU,JDS Uniphase Corp.,1999-05-05,2006-12-18,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
JNPR,Juniper Networks Inc,2000-09-07,2009-10-29,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
JOY,Joy Global Inc,2006-01-04,2011-12-06,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
KDP,Keurig Dr Pepper,2020-10-19,,Annual Re-ranking,,fmp:nasdaq100,0001418135
KHC,Kraft Heinz,2013-03-18,,Annual Re-ranking,,fmp:nasdaq100,0001637459
KLAC,KLA Corporation,1995-02-27,2016-02-22,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,0000319201
KLAC,KLA Corporation,2016-12-09,,Annual Re-ranking,,fmp:nasdaq100,0000319201
LAMR,Lamar Advertising Co,2002-12-23,2008-12-22,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
LBTYA,Liberty Global PLC Class A,2004-12-20,2009-12-21,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
LBTYA,Liberty Global PLC Class A,2012-12-24,2020-12-21,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
LBTYK,Liberty Global plc Class C,2014-12-22,2020-12-21,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
LCID,Lucid Group Inc,2021-12-20,2023-12-18,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
LIFE,Life Technologies,2001-12-24,2005-12-19,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
LIFE,Life Technologies,2008-12-22,2013-08-22,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
LILA,Liberty Global plc LiLAC Class A,2015-07-01,2015-12-21,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
LILAK,Liberty Global plc LiLAC Class C,2015-07-01,2015-12-21,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
LIN,Linde plc,2024-03-18,,Annual Re-ranking,,fmp:nasdaq100,0001707925
LITE,Lumentum Holdings Inc.,2026-05-17,,CoStar did not meet the minimum monthly weight requirements.,,fmp:nasdaq100,0001633978
LLTC,Linear Technology Corp,1985-01-29,2016-10-19,,Annual Re-ranking,fmp:nasdaq100,
LMCA,Liberty Media Class A,2012-12-24,2013-01-15,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
LMCA,Liberty Media Class A,2013-06-05,2016-06-20,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
LMCK,Liberty Media C,2014-12-22,2016-06-20,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
LNCR,Lincare Holdings Inc,2002-07-24,2006-12-18,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
LOGI,Logitech International SA,2007-02-01,2010-12-20,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
LRCX,Lam Research,2003-12-22,2012-12-24,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,0000707549
LRCX,Lam Research,2014-12-22,,Annual Re-ranking,,fmp:nasdaq100,0000707549
LULU,Lululemon Athletica Inc,2018-12-24,2025-12-21,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
LVLT,Level 3 Comm's Inc,2003-12-22,2005-12-19,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
LVLT,Level 3 Comm's Inc,2006-12-18,2008-12-22,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
LVNTA,Liberty Ventures,2014-11-06,2018-03-08,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
LWIN,Leap Wireless Int'l Inc,2007-10-08,2008-12-22,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
MAR,Marriott International,2013-11-18,,Annual Re-ranking,,fmp:nasdaq100,0001048286
MAT,Mattel Inc,2009-12-21,2017-10-23,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
MCHP,Microchip Technology,1997-06-04,2013-12-23,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,0000827054
MCHP,Microchip Technology,2016-07-18,,Annual Re-ranking,,fmp:nasdaq100,0000827054
MCIP,"MCI, Inc.",2004-12-20,2006-01-09,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
MDB,MongoDB Inc,2023-12-18,2025-05-18,Annual Re-ranking,MongoDB did not meet the minimum monthly weight requirements.,fmp:nasdaq100,
MDLZ,Mondelez International,2012-07-23,,Annual Re-ranking,,fmp:nasdaq100,0001103982
MEDI,Medimmune Inc,1999-12-20,2007-06-01,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
MELI,MercadoLibre,2017-06-19,,Annual Re-ranking,,fmp:nasdaq100,0001099590
MERQ,Mercury Interactive Corp,2000-12-18,2006-01-04,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
META,Meta Platforms,2012-12-12,,Annual Re-ranking,,fmp:nasdaq100,0001326801
MICC,Millicom Int'l Cellular,2006-05-08,2011-05-27,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
MLNM,Millennium Pharmaceuticals Inc,2000-12-18,2005-12-19,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
MNST,Monster Beverage,2007-12-24,2009-12-21,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,0000865752
MNST,Monster Beverage,2011-12-19,,Annual Re-ranking,,fmp:nasdaq100,0000865752
MOLX,Molex Inc,1985-01-29,2005-12-19,,Annual Re-ranking,fmp:nasdaq100,
MPWR,Monolithic Power Systems,2025-12-21,,Annual Re-ranking,,fmp:nasdaq100,0001280452
